seq1_id,seq2_id,tm_score
d1914a2,d1a0aa_,0.4319664239883423
d1914a2,d1a0ia1,0.275647908449173
d1914a2,d1a0ia2,0.3231229782104492
d1914a2,d1a0pa2,0.30786675214767456
d1914a2,d1a12a_,0.19276191294193268
d1914a2,d1a17a_,0.36701470613479614
d1914a2,d1a1va1,0.30157628655433655
d1914a2,d1a1xa_,0.3607054650783539
d1914a2,d1a32a_,0.42062556743621826
d1914a2,d1a4ia2,0.41334018111228943
d1914a2,d1a62a1,0.3649660646915436
d1914a2,d1a6bb_,0.3013540208339691
d1914a2,d1a6ca1,0.30517494678497314
d1914a2,d1a6ca2,0.37372416257858276
d1914a2,d1a6ja_,0.3586388826370239
d1914a2,d1a79a1,0.36771172285079956
d1914a2,d1a79a2,0.3280438184738159
d1914a2,d1a7ta_,0.2609797716140747
d1914a2,d1a8da1,0.2356981635093689
d1914a2,d1ab8a_,0.3384926915168762
d1914a2,d1ad2a_,0.2824338674545288
d1914a2,d1ae9a_,0.20483428239822388
d1914a2,d1ag7a_,0.2890356481075287
d1914a2,d1agga_,0.3290921449661255
d1914a2,d1agqa_,0.5141904950141907
d1914a2,d1ahla_,0.2792537212371826
d1914a2,d1ahoa_,0.3670884370803833
d1914a2,d1ahsa_,0.2603837251663208
d1914a2,d1aisa1,0.28300562500953674
d1914a2,d1aisb1,0.288373738527298
d1914a2,d1aiwa_,0.3451439440250397
d1914a2,d1akoa_,0.267831414937973
d1914a2,d1akya2,0.3757871091365814
d1914a2,d1alua_,0.4150129556655884
d1914a2,d1am2a_,0.1865922212600708
d1914a2,d1am7a_,0.37754642963409424
d1914a2,d1an8a1,0.32562172412872314
d1914a2,d1ansa_,0.25057846307754517
d1914a2,d1aoca_,0.3276492953300476
d1914a2,d1aoea_,0.2732292413711548
d1914a2,d1aoya_,0.3069358170032501
d1914a2,d1aoza1,0.4157170057296753
d1914a2,d1aoza3,0.2909526526927948
d1914a2,d1apja_,0.3141497075557709
d1914a2,d1apy.1,0.2808929979801178
d1914a2,d1aqca_,0.43754202127456665
d1914a2,d1aqea_,0.2953752279281616
d1914a2,d1aqta1,0.3360394239425659
d1914a2,d1aqta2,0.37273693084716797
d1914a2,d1aqza_,0.37374597787857056
d1914a2,d1asha_,0.36031025648117065
d1914a2,d1ataa_,0.3352601230144501
d1914a2,d1atia1,0.3176512122154236
d1914a2,d1atia2,0.21669569611549377
d1914a2,d1auya_,0.3111422061920166
d1914a2,d1avwb_,0.287691593170166
d1914a2,d1ax8a_,0.3793048858642578
d1914a2,d1axib1,0.4177628755569458
d1914a2,d1ayaa_,0.43907976150512695
d1914a2,d1ayea2,0.37298643589019775
d1914a2,d1ayoa_,0.3972475826740265
d1914a2,d1azoa_,0.2726747691631317
d1914a2,d1azza_,0.20956911146640778
d1914a2,d1b0ba_,0.32326021790504456
d1914a2,d1b0na2,0.3616839051246643
d1914a2,d1b0nb_,0.3399486541748047
d1914a2,d1b12a_,0.24115431308746338
d1914a2,d1b24a1,0.41704413294792175
d1914a2,d1b24a2,0.30644434690475464
d1914a2,d1b35.1,0.24613428115844727
d1914a2,d1b35a_,0.3148261308670044
d1914a2,d1b3qa1,0.32564568519592285
d1914a2,d1b3qa2,0.23267921805381775
d1914a2,d1b3ua_,0.1857719123363495
d1914a2,d1b4ra_,0.23806355893611908
d1914a2,d1b5ea_,0.31217819452285767
d1914a2,d1b63a1,0.36787986755371094
d1914a2,d1b67a_,0.3232784569263458
d1914a2,d1b6ga_,0.276824414730072
d1914a2,d1b74a1,0.3420766592025757
d1914a2,d1b9ha_,0.2818303108215332
d1914a2,d1b9ma1,0.3798898458480835
d1914a2,d1b9oa_,0.3946261405944824
d1914a2,d1b9wa2,0.3523780107498169
d1914a2,d1bama_,0.4015198349952698
d1914a2,d1baza_,0.2590821385383606
d1914a2,d1bbga_,0.2700694501399994
d1914a2,d1bboa1,0.32793575525283813
d1914a2,d1bcoa1,0.26941606402397156
d1914a2,d1bd8a_,0.3242796063423157
d1914a2,d1bdfa1,0.3706645369529724
d1914a2,d1bdfa2,0.25852179527282715
d1914a2,d1beaa_,0.365149587392807
d1914a2,d1bf2a3,0.22170709073543549
d1914a2,d1bf6a_,0.2311250865459442
d1914a2,d1bg1a2,0.40114709734916687
d1914a2,d1bg1a3,0.4070814847946167
d1914a2,d1bgca_,0.45505955815315247
d1914a2,d1bgva2,0.3948408365249634
d1914a2,d1bh9a_,0.48808228969573975
d1914a2,d1bh9b_,0.5135217308998108
d1914a2,d1bhea_,0.19326898455619812
d1914a2,d1bhpa_,0.37637609243392944
d1914a2,d1bi6.2,0.3246498703956604
d1914a2,d1bi6h1,0.2902824282646179
d1914a2,d1biaa3,0.2726891338825226
d1914a2,d1bifa1,0.3645479679107666
d1914a2,d1bifa2,0.37917155027389526
d1914a2,d1biha1,0.3143748939037323
d1914a2,d1biha2,0.3192891478538513
d1914a2,d1biha4,0.3058743178844452
d1914a2,d1bkpa_,0.243181973695755
d1914a2,d1bkra_,0.4521830677986145
d1914a2,d1bm8a_,0.46173766255378723
d1914a2,d1bm9a_,0.38446423411369324
d1914a2,d1bmlc3,0.2977772355079651
d1914a2,d1bnba_,0.363285094499588
d1914a2,d1bnda_,0.4937818646430969
d1914a2,d1bola_,0.27101126313209534
d1914a2,d1booa_,0.2999459505081177
d1914a2,d1boub_,0.29079461097717285
d1914a2,d1bpoa1,0.3416627049446106
d1914a2,d1bqua1,0.4613214135169983
d1914a2,d1brta_,0.23697464168071747
d1914a2,d1btea_,0.3998815417289734
d1914a2,d1btna_,0.4790974259376526
d1914a2,d1bu8a2,0.21367011964321136
d1914a2,d1bvp11,0.3884275555610657
d1914a2,d1bvsa1,0.35938751697540283
d1914a2,d1bvsa3,0.36186859011650085
d1914a2,d1bw5a_,0.3671500086784363
d1914a2,d1bwda_,0.25449514389038086
d1914a2,d1bx7a_,0.2999300956726074
d1914a2,d1bxda_,0.30450737476348877
d1914a2,d1bxya_,0.3885849118232727
d1914a2,d1by5a_,0.17475540935993195
d1914a2,d1byfa_,0.3307088613510132
d1914a2,d1byia_,0.3268504738807678
d1914a2,d1byra_,0.3185548484325409
d1914a2,d1c01a_,0.36441636085510254
d1914a2,d1c0aa2,0.30549895763397217
d1914a2,d1c0pa1,0.2832100987434387
d1914a2,d1c17m_,0.4274666905403137
d1914a2,d1c1da2,0.3953968584537506
d1914a2,d1c1ka_,0.3172750473022461
d1914a2,d1c20a_,0.5054512023925781
d1914a2,d1c3ca_,0.20216186344623566
d1914a2,d1c3ga1,0.29348939657211304
d1914a2,d1c3ga2,0.3040003180503845
d1914a2,d1c3za_,0.3927538990974426
d1914a2,d1c44a_,0.5143563151359558
d1914a2,d1c4oa2,0.26334553956985474
d1914a2,d1c52a_,0.29843834042549133
d1914a2,d1c53a_,0.2891342043876648
d1914a2,d1c5ea_,0.32825541496276855
d1914a2,d1c7ka_,0.38312631845474243
d1914a2,d1c8ua1,0.3799288868904114
d1914a2,d1c8ua2,0.33149731159210205
d1914a2,d1c9fa_,0.45539331436157227
d1914a2,d1ca1a1,0.29924681782722473
d1914a2,d1cb8a1,0.33041703701019287
d1914a2,d1cb8a2,0.35660743713378906
d1914a2,d1cbha_,0.2787054777145386
d1914a2,d1ccwb_,0.2586427330970764
d1914a2,d1ccza2,0.2691326141357422
d1914a2,d1cd9b2,0.38485661149024963
d1914a2,d1ceoa_,0.3415040373802185
d1914a2,d1cf7a_,0.4848312735557556
d1914a2,d1cf7b_,0.47543951869010925
d1914a2,d1cfba1,0.3619295358657837
d1914a2,d1cfba2,0.363566130399704
d1914a2,d1cfea_,0.37265223264694214
d1914a2,d1cfra_,0.33508384227752686
d1914a2,d1cg2a1,0.27996522188186646
d1914a2,d1cg2a2,0.2617166042327881
d1914a2,d1cg5b_,0.3777244985103607
d1914a2,d1cgme_,0.29129230976104736
d1914a2,d1chca_,0.24840538203716278
d1914a2,d1chda_,0.2817980945110321
d1914a2,d1chua1,0.3315719962120056
d1914a2,d1chua2,0.27440595626831055
d1914a2,d1chua3,0.27812179923057556
d1914a2,d1cida1,0.20942652225494385
d1914a2,d1cipa1,0.37138018012046814
d1914a2,d1cixa_,0.25141167640686035
d1914a2,d1ciya2,0.20564478635787964
d1914a2,d1cjaa_,0.19699588418006897
d1914a2,d1cjca2,0.28211355209350586
d1914a2,d1cjwa_,0.31220436096191406
d1914a2,d1cjxa1,0.32977426052093506
d1914a2,d1cjxa2,0.2590920329093933
d1914a2,d1cjya2,0.2617538869380951
d1914a2,d1ckaa_,0.2723129987716675
d1914a2,d1ckea_,0.3143777549266815
d1914a2,d1ckma1,0.18148007988929749
d1914a2,d1ckma2,0.2737373113632202
d1914a2,d1clca1,0.26023945212364197
d1914a2,d1clca2,0.2864781320095062
d1914a2,d1cmxa_,0.33403173089027405
d1914a2,d1co4a_,0.3739834427833557
d1914a2,d1coja1,0.3722514808177948
d1914a2,d1coja2,0.35387474298477173
d1914a2,d1cola_,0.4014684557914734
d1914a2,d1coza_,0.4124162793159485
d1914a2,d1cr1a_,0.37440431118011475
d1914a2,d1cr5a1,0.3824536204338074
d1914a2,d1cr5a2,0.31494414806365967
d1914a2,d1crua_,0.20880037546157837
d1914a2,d1cs6a4,0.363824725151062
d1914a2,d1csei_,0.3819880485534668
d1914a2,d1ct9a1,0.2540018856525421
d1914a2,d1ct9a2,0.31771981716156006
d1914a2,d1ctja_,0.4363563656806946
d1914a2,d1cv8a_,0.2630223035812378
d1914a2,d1cvja1,0.3885175585746765
d1914a2,d1cwva1,0.3166739344596863
d1914a2,d1cwva2,0.27997085452079773
d1914a2,d1cwva3,0.31462961435317993
d1914a2,d1cx4a2,0.31392771005630493
d1914a2,d1cxya_,0.3697730004787445
d1914a2,d1cyxa_,0.298445463180542
d1914a2,d1cz4a2,0.32513123750686646
d1914a2,d1d0da_,0.3203263580799103
d1914a2,d1d0qa_,0.3056533634662628
d1914a2,d1d1na_,0.32210618257522583
d1914a2,d1d2fa_,0.20670506358146667
d1914a2,d1d2na_,0.34290811419487
d1914a2,d1d2pa4,0.4203883409500122
d1914a2,d1d2zb_,0.39882996678352356
d1914a2,d1d3bb_,0.4624013900756836
d1914a2,d1d3ya_,0.2659764289855957
d1914a2,d1d4oa_,0.3502061367034912
d1914a2,d1d5ra1,0.4159126877784729
d1914a2,d1d5ra2,0.3700229525566101
d1914a2,d1d5ta1,0.28481537103652954
